# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403636624.16356 0.018507 0.005293 0.005717 -0.793658 -0.058438 -0.600548 0.077680 0.0014356187 0.0000000002 -0.0000000001 0.0014356183 -0.0000000000 0.0014356181 0.0062903086 -0.0000000997 -0.0000405896 0.0062906260 -0.0000117702 0.0014838507
1403636624.21356 0.020097 0.005810 0.006783 -0.793786 -0.058581 -0.600384 0.077531 0.0015041203 0.0000000004 -0.0000000001 0.0015041197 -0.0000000001 0.0015041195 0.0080529086 -0.0000001187 -0.0000510752 0.0080532818 -0.0000149860 0.0015686295
1403636624.26356 0.021990 0.006429 0.008290 -0.793957 -0.058610 -0.600145 0.077609 0.0015776215 0.0000000006 -0.0000000001 0.0015776208 -0.0000000001 0.0015776204 0.0102439805 -0.0000001439 -0.0000642550 0.0102444269 -0.0000190859 0.0016622353
1403636624.31356 0.024540 0.006929 0.009621 -0.795562 -0.058633 -0.598200 0.076157 0.0016561221 0.0000000012 -0.0000000000 0.0016561216 0.0000000001 0.0016561205 0.0129296970 -0.0000001736 -0.0000820724 0.0129302604 -0.0000234047 0.0017652424
1403636624.36356 0.026629 0.006730 0.010895 -0.798484 -0.058445 -0.594522 0.074499 0.0017396173 0.0000000040 0.0000000004 0.0017396214 0.0000000009 0.0017396145 0.0161873611 -0.0000001806 -0.0001007934 0.0161880387 -0.0000251930 0.0018781774
1403636624.41356 0.027727 0.005672 0.012505 -0.800759 -0.057957 -0.591729 0.072679 0.0018281023 0.0000000111 0.0000000007 0.0018281196 0.0000000017 0.0018280964 0.0201051722 -0.0000001512 -0.0001171071 0.0201059182 -0.0000224094 0.0020016308
1403636624.46356 0.028227 0.004101 0.013893 -0.803675 -0.056902 -0.587984 0.071716 0.0019215693 0.0000000256 0.0000000014 0.0019216151 0.0000000034 0.0019215574 0.0247704290 -0.0000001000 -0.0001315037 0.0247712033 -0.0000153037 0.0021363015
1403636624.51356 0.028159 0.002073 0.015472 -0.806571 -0.056029 -0.584308 0.069916 0.0020200061 0.0000000512 0.0000000017 0.0020201063 0.0000000042 0.0020199841 0.0302887875 -0.0000000322 -0.0001429442 0.0302895390 -0.0000029629 0.0022829050
1403636624.56356 0.027892 -0.000211 0.017353 -0.808667 -0.055186 -0.581686 0.068217 0.0021234154 0.0000000893 0.0000000021 0.0021235917 0.0000000051 0.0021233776 0.0367730124 0.0000000413 -0.0001528305 0.0367737057 0.0000144585 0.0024422169
1403636624.61356 -0.006942 -0.012033 -0.005046 -0.809459 -0.054941 -0.580509 0.069052 0.0019837343 -0.0000424348 -0.0006254684 0.0005004766 0.0001446034 0.0003353376 0.0033125260 0.0012931042 0.0000332185 0.0021731541 0.0000212811 0.0012865843
1403636624.66356 -0.008887 -0.017198 -0.004745 -0.808500 -0.055714 -0.582040 0.066732 0.0020861597 -0.0000419427 -0.0006520394 0.0005555884 0.0001579119 0.0003598127 0.0037355336 0.0015026126 0.0000894441 0.0023541382 0.0000553464 0.0013349807
1403636624.71356 -0.020844 -0.029160 -0.007552 -0.808355 -0.058691 -0.582265 0.063912 0.0010870134 -0.0000925465 -0.0003793171 0.0001490878 0.0000863920 0.0001830065 0.0017333917 0.0004983215 -0.0003066265 0.0015151282 -0.0002532315 0.0012131850
1403636624.76356 -0.029759 -0.035252 -0.012429 -0.805764 -0.059346 -0.586187 0.060062 0.0009055433 -0.0000277506 -0.0002913728 0.0000122721 0.0000091412 0.0001057374 0.0010177152 -0.0000002566 -0.0000006322 0.0010095827 0.0000002427 0.0010056238
1403636624.81356 -0.034381 -0.043472 -0.012395 -0.807727 -0.064134 -0.583581 0.053827 0.0009042606 -0.0000112460 -0.0002943409 0.0000115636 0.0000038126 0.0001078664 0.0010171964 -0.0000011353 -0.0000006067 0.0010098476 0.0000002366 0.0010053769
1403636624.86356 -0.039777 -0.052037 -0.010466 -0.809784 -0.068567 -0.580697 0.048359 0.0008996209 0.0000013233 -0.0003008737 0.0000114550 -0.0000003378 0.0001128092 0.0010170014 -0.0000019348 -0.0000005738 0.0010100837 0.0000001641 0.0010051421
1403636624.91356 -0.044675 -0.061381 -0.007259 -0.813474 -0.073906 -0.575411 0.041226 0.0008904870 0.0000167114 -0.0003121620 0.0000116714 -0.0000057698 0.0001217757 0.0010157616 -0.0000027448 -0.0000003199 0.0010102755 -0.0000000819 0.0010046871
1403636624.96356 -0.051490 -0.070030 -0.000902 -0.816935 -0.078932 -0.570248 0.034684 0.0008813458 0.0000310685 -0.0003221683 0.0000124914 -0.0000113457 0.0001303001 0.0010160493 -0.0000038241 -0.0000002961 0.0010107600 -0.0000001087 0.0010044580
1403636625.01356 -0.058072 -0.078404 0.007197 -0.820054 -0.082363 -0.565505 0.030530 0.0008724514 0.0000397231 -0.0003312915 0.0000130785 -0.0000151045 0.0001384274 0.0010156731 -0.0000050596 -0.0000002266 0.0010113988 -0.0000002341 0.0010040050
1403636625.06356 -0.064833 -0.084940 0.017027 -0.823468 -0.084854 -0.560323 0.027158 0.0008633461 0.0000453461 -0.0003404838 0.0000134010 -0.0000180962 0.0001467349 0.0010157822 -0.0000062877 -0.0000001511 0.0010122408 -0.0000001354 0.0010036594
1403636625.11356 -0.070195 -0.090378 0.029159 -0.826307 -0.085799 -0.555998 0.026850 0.0008559400 0.0000465010 -0.0003480513 0.0000135028 -0.0000191342 0.0001541239 0.0010160074 -0.0000073453 0.0000000430 0.0010131469 -0.0000000802 0.0010036205
1403636625.16356 -0.075312 -0.093665 0.042679 -0.827901 -0.083254 -0.553833 0.030290 0.0008534380 0.0000377661 -0.0003516865 0.0000124860 -0.0000158910 0.0001573723 0.0010162993 -0.0000081622 0.0000002023 0.0010138541 0.0000000463 0.0010036200
1403636625.21356 -0.080379 -0.095954 0.057711 -0.827352 -0.081396 -0.554721 0.033881 0.0008565027 0.0000307220 -0.0003494700 0.0000118408 -0.0000129458 0.0001549340 0.0010165464 -0.0000087582 0.0000003665 0.0010146655 0.0000001167 0.0010036563
1403636625.26356 -0.083456 -0.097979 0.072881 -0.825315 -0.079406 -0.557823 0.037206 0.0008620494 0.0000247465 -0.0003442951 0.0000114250 -0.0000103062 0.0001496734 0.0010168218 -0.0000093338 0.0000004943 0.0010152880 0.0000001885 0.0010037121
1403636625.31356 -0.086152 -0.098163 0.084354 -0.823142 -0.077777 -0.561054 0.040085 0.0008675670 0.0000197599 -0.0003389684 0.0000107591 -0.0000084611 0.0001442355 0.0010170905 -0.0000095340 0.0000005355 0.0010154096 0.0000002529 0.0010037231
1403636625.36356 -0.088084 -0.093827 0.091454 -0.822507 -0.077413 -0.561995 0.040625 0.0008704852 0.0000160279 -0.0003348880 0.0000100144 -0.0000072947 0.0001398832 0.0010157576 -0.0000096499 0.0000002607 0.0010147833 0.0000002583 0.0010036168
