# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715528.46214 0.004919 -0.002169 -0.001424 0.819713 -0.027586 0.570945 0.036489 0.0014970364 0.0000000002 0.0000000000 0.0014970450 -0.0000000004 0.0014970366 0.0078169521 0.0000000090 -0.0000131903 0.0078169761 0.0000049088 0.0015593612
1403715528.51214 0.006476 -0.001619 0.000297 0.822009 -0.029321 0.567599 0.035682 0.0015700175 0.0000000009 -0.0000000001 0.0015700457 -0.0000000040 0.0015700183 0.0099580838 0.0000000061 -0.0000201906 0.0099581319 0.0000037158 0.0016519935
1403715528.56214 0.008381 -0.000267 0.003981 0.822594 -0.030886 0.566739 0.034512 0.0016479901 0.0000000024 -0.0000000005 0.0016480454 -0.0000000112 0.0016479927 0.0126031672 -0.0000000104 -0.0000301500 0.0126032521 -0.0000010751 0.0017539452
1403715528.61214 0.011116 0.001510 0.009879 0.821629 -0.032118 0.568093 0.034122 0.0017309597 0.0000000041 -0.0000000011 0.0017310422 -0.0000000219 0.0017309667 0.0158371576 -0.0000000461 -0.0000459772 0.0158373093 -0.0000092188 0.0018658309
1403715528.66214 0.008376 0.006721 0.017915 0.819351 -0.033372 0.571303 0.034099 0.0017853644 0.0001474632 -0.0000820038 0.0008427551 -0.0001990354 0.0005840222 0.0124561994 -0.0046526191 0.0003212575 0.0093216485 -0.0002533149 0.0019360357
1403715528.71214 0.016873 0.009591 0.033450 0.818240 -0.034944 0.572807 0.033961 0.0016023255 0.0004038101 -0.0003362045 0.0006145099 0.0000561201 0.0003369972 0.0099282990 0.0011908099 -0.0001452873 0.0014781194 0.0001120916 0.0017450683
1403715528.76214 0.023694 0.013634 0.042572 0.817736 -0.036800 0.573425 0.033720 0.0016819814 0.0004173733 -0.0003309946 0.0005615298 0.0000489517 0.0003530256 0.0108638917 0.0013857590 -0.0001763136 0.0014920702 0.0001321824 0.0018340775
1403715528.81214 0.028097 0.016519 0.053307 0.816899 -0.037367 0.574529 0.034599 0.0017639390 0.0004414275 -0.0003299749 0.0005916990 0.0000568810 0.0003894444 0.0129120540 0.0016816852 -0.0001981292 0.0015196674 0.0001513660 0.0019343139
1403715528.86214 0.032493 0.019855 0.064855 0.815459 -0.037344 0.576512 0.035583 0.0018508873 0.0004680281 -0.0003226774 0.0006263873 0.0000667784 0.0004256144 0.0152786722 0.0020365090 -0.0002123099 0.0015577090 0.0001728341 0.0020438496
1403715528.91214 0.043698 0.023086 0.080783 0.816800 -0.038260 0.574442 0.037286 0.0009798648 0.0000747988 -0.0003204583 0.0001063749 0.0000156765 0.0002118257 0.0023916652 0.0001135857 -0.0000168629 0.0011680511 0.0000886489 0.0014246404
1403715528.96214 0.049665 0.027524 0.092902 0.816714 -0.038138 0.574494 0.038473 0.0009829020 0.0000844522 -0.0003254374 0.0001167236 0.0000197686 0.0002293217 0.0025639717 0.0001011753 0.0000054179 0.0011647025 0.0001069857 0.0014657371
1403715529.01214 0.044900 0.028271 0.102117 0.815431 -0.035441 0.576669 0.035635 0.0009269788 0.0000461382 -0.0003070166 0.0000782642 0.0000092501 0.0001519090 0.0013755446 -0.0000123986 -0.0000200022 0.0011463904 0.0001156760 0.0015002203
1403715529.06214 0.054473 0.044550 0.154669 0.819373 -0.035051 0.570964 0.037408 0.0008916928 0.0000144864 -0.0003134460 0.0000204685 -0.0000068060 0.0001249648 0.0012094773 -0.0000120218 -0.0000240179 0.0010508140 -0.0000012966 0.0010349593
1403715529.11214 0.060154 0.052662 0.171644 0.819591 -0.032459 0.571032 0.033740 0.0008845316 0.0000175234 -0.0003219663 0.0000192604 -0.0000083182 0.0001321706 0.0011796618 -0.0000122672 -0.0000177668 0.0010523535 -0.0000014920 0.0010328827
1403715529.16214 0.071169 0.061395 0.189833 0.819877 -0.027376 0.571130 0.029374 0.0008839008 0.0000160866 -0.0003229609 0.0000177144 -0.0000076525 0.0001331351 0.0011552799 -0.0000134911 -0.0000127776 0.0010535356 -0.0000014129 0.0010306405
1403715529.21214 0.077645 0.070779 0.210288 0.821194 -0.021378 0.569727 0.024384 0.0008816484 0.0000152046 -0.0003252003 0.0000167431 -0.0000073811 0.0001350044 0.0011345588 -0.0000139674 -0.0000097057 0.0010544776 -0.0000019858 0.0010290332
1403715529.26214 0.077262 0.081212 0.232668 0.823645 -0.014932 0.566579 0.019364 0.0008773108 0.0000147940 -0.0003297925 0.0000146135 -0.0000063103 0.0001386000 0.0011061800 -0.0000164013 -0.0000035362 0.0010555730 -0.0000006036 0.0010240210
1403715529.31214 0.085742 0.091199 0.253611 0.825769 -0.007502 0.563782 0.014137 0.0008716670 0.0000149591 -0.0003357845 0.0000135409 -0.0000063857 0.0001441428 0.0010949492 -0.0000177834 0.0000015245 0.0010560667 -0.0000004528 0.0010213074
