# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
123458.40000 -0.060774 1.561460 0.380254 0.048947 -0.042035 -0.997232 0.036953 0.0011217964 -0.0000000001 -0.0000000001 0.0011217966 0.0000000002 0.0011217965 0.0010121565 -0.0000000003 0.0000001077 0.0010121619 0.0000000059 0.0010100300
123458.50000 -0.087756 1.874553 0.451526 0.057650 -0.039020 -0.996577 0.044585 0.0012664886 -0.0000000013 -0.0000000010 0.0012664925 0.0000000033 0.0012664907 0.0010802273 -0.0000000059 0.0000018742 0.0010803227 0.0000001153 0.0010436436
123458.60000 -0.119597 2.187268 0.519964 0.065637 -0.034692 -0.995868 0.052299 0.0014312185 -0.0000000076 -0.0000000061 0.0014312369 0.0000000169 0.0014312291 0.0012981881 -0.0000000335 0.0000098833 0.0012986914 0.0000006534 0.0011054253
123458.70000 -0.156351 2.499574 0.585064 0.073183 -0.030713 -0.995019 0.060323 0.0016159925 -0.0000000262 -0.0000000216 0.0016160459 0.0000000527 0.0016160248 0.0018306908 -0.0000001155 0.0000323433 0.0018323401 0.0000022500 0.0012011664
123458.80000 -0.185750 2.792396 0.645877 0.076110 -0.017055 -0.994186 0.074239 0.0009947113 0.0000809274 0.0000126789 0.0011260491 0.0002155823 0.0007390021 0.0025030302 -0.0000541053 0.0000440343 0.0024985239 -0.0000428075 0.0013273434
123458.90000 -0.245056 3.110986 0.707072 0.085709 -0.017830 -0.992726 0.082646 0.0009555720 0.0001096241 0.0000422361 0.0010358692 0.0002560996 0.0007455988 0.0036658248 -0.0002437751 0.0000264432 0.0037505654 -0.0000785718 0.0014896108
123459.00000 -0.314121 3.434799 0.761861 0.093966 -0.016593 -0.991414 0.089410 0.0009763403 0.0001677453 0.0000570937 0.0010252271 0.0003044476 0.0007406664 0.0054727026 -0.0003333147 0.0001326163 0.0056081958 -0.0001922686 0.0017183128
123459.10000 -0.370209 3.768609 0.812867 0.096386 -0.014257 -0.990564 0.096381 0.0008876228 0.0000593731 0.0001301383 0.0009263460 0.0002486839 0.0007844859 0.0079747631 -0.0007580699 0.0002734570 0.0082100571 -0.0003716158 0.0020103539
123459.20000 -0.450178 4.056429 0.854558 0.103148 -0.006364 -0.988899 0.106764 0.0004019590 -0.0000174299 -0.0000174566 0.0005755516 0.0002593200 0.0007039054 0.0072305294 0.0005070958 0.0000722572 0.0066994570 -0.0011511044 0.0021905008
123459.30000 -0.484277 4.355174 0.889345 0.100377 -0.001839 -0.988652 0.111754 0.0004693909 0.0000388749 -0.0000094061 0.0005251551 0.0002698519 0.0006720337 0.0083182440 -0.0004376454 0.0003178663 0.0078295381 -0.0014155574 0.0025163728
