# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1559195796.41119 -0.002842 0.020605 -0.012365 0.000936 0.009792 -0.001152 0.999951 0.0014460219 0.0000000001 0.0000000001 0.0014460220 0.0000000002 0.0014460220 0.0064421758 0.0000000621 0.0000065474 0.0064417394 -0.0000469213 0.0014963433
1559195796.51111 -0.000251 0.000608 -0.003148 0.005955 0.011150 0.000375 0.999920 0.0000148063 -0.0000000358 -0.0000193409 0.0000144308 0.0000018268 0.0010017761 0.0014708410 0.0000000586 0.0000000472 0.0014704244 -0.0000002369 0.0014603849
1559195796.61133 0.000073 0.000294 -0.002824 0.005990 0.011162 0.000311 0.999920 0.0000146036 -0.0000000358 -0.0000193356 0.0000142282 0.0000018263 0.0010012992 0.0014688598 0.0000000586 0.0000000442 0.0014684431 -0.0000002180 0.0014598720
1559195796.71116 -0.000029 0.000306 -0.002916 0.006005 0.011169 0.000272 0.999920 0.0000145952 -0.0000000358 -0.0000193342 0.0000142198 0.0000018262 0.0010012219 0.0014686558 0.0000000586 0.0000000439 0.0014682392 -0.0000002161 0.0014598504
1559195796.81117 -0.000065 0.000375 -0.002915 0.006000 0.011166 0.000267 0.999920 0.0000145948 -0.0000000358 -0.0000193339 0.0000142195 0.0000018262 0.0010012069 0.0014686222 0.0000000586 0.0000000439 0.0014682056 -0.0000002158 0.0014598494
1559195796.91121 -0.000025 0.000359 -0.002913 0.005999 0.011166 0.000263 0.999920 0.0000145948 -0.0000000358 -0.0000193339 0.0000142194 0.0000018262 0.0010012038 0.0014686157 0.0000000586 0.0000000439 0.0014681991 -0.0000002157 0.0014598494
1559195797.01131 -0.000019 0.000349 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193339 0.0000142194 0.0000018262 0.0010012032 0.0014686144 0.0000000586 0.0000000439 0.0014681978 -0.0000002157 0.0014598494
1559195797.11199 -0.000022 0.000349 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686142 0.0000000586 0.0000000439 0.0014681976 -0.0000002157 0.0014598494
1559195797.21138 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195797.31126 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000263 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195797.41126 -0.000022 0.000350 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195797.51121 -0.000022 0.000350 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195797.61141 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195797.71111 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195797.81120 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195797.91121 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.01125 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.11123 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.21170 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.31126 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.41147 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.51137 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.61141 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.71128 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.81117 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195798.91122 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195799.01125 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195799.11128 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
1559195799.21136 -0.000022 0.000351 -0.002913 0.005999 0.011166 0.000262 0.999920 0.0000145948 -0.0000000358 -0.0000193338 0.0000142194 0.0000018262 0.0010012031 0.0014686141 0.0000000586 0.0000000439 0.0014681975 -0.0000002157 0.0014598494
